SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
015516.17-094555.9 0.5634 21.470 0.209 20.881 0.045 20.808 0.055 20.243 0.043 20.806 0.305  0.000 -9.000 -22.134
015520.52-001223.3 0.7603 20.483 0.056 20.319 0.031 20.242 0.025 20.166 0.036 19.870 0.072  0.000 -9.000 -22.957
015521.69-004149.8 0.2692 21.205 0.124 19.663 0.022 18.554 0.016 18.209 0.015 17.721 0.023  0.000 -9.000 -22.409
015522.03+000156.5 1.5636 20.759 0.078 20.354 0.024 20.360 0.029 20.173 0.032 20.282 0.135  0.000 -9.000 -24.684
015523.90+123202.9 1.6297 18.567 0.019 18.269 0.017 18.105 0.017 17.843 0.015 17.908 0.027 -1.000 -9.000 -27.170
015528.62-003856.7 1.3823 19.773 0.042 19.566 0.018 19.511 0.016 19.477 0.021 19.372 0.054  0.000 -9.000 -25.084
015528.79+002552.0 2.2696 21.892 0.168 21.055 0.040 20.431 0.028 19.866 0.026 19.344 0.052  0.000 -9.000 -25.849
015529.33-010607.5 2.0610 20.378 0.053 20.312 0.071 20.338 0.029 19.948 0.028 19.609 0.063  0.000 -9.000 -25.539
015530.02-085704.0 0.1646 17.018 0.019 16.958 0.019 16.788 0.022 16.292 0.014 16.455 0.024  0.000 -0.874 -23.164
015536.53-093915.3 1.5802 20.104 0.079 19.478 0.025 19.260 0.023 18.980 0.019 19.040 0.068  0.000 -9.000 -25.881
015537.91-004739.9 1.6788 20.304 0.061 20.168 0.022 20.227 0.024 20.017 0.028 20.084 0.095  0.000 -9.000 -25.002
015538.37-010631.6 0.8780 18.802 0.025 18.293 0.068 18.023 0.018 17.925 0.014 17.694 0.021  0.000 -9.000 -25.543
015542.03-080739.4 1.3285 19.412 0.036 19.262 0.017 18.990 0.020 18.969 0.031 19.018 0.062  0.000 -9.000 -25.482
015543.82-005032.9 2.0348 19.108 0.026 19.061 0.022 18.976 0.016 18.845 0.022 18.636 0.032  0.000 -9.000 -26.619
015544.36-084105.9 0.3820 20.344 0.056 19.916 0.026 19.419 0.022 19.132 0.025 18.763 0.045  0.000 -9.000 -22.305
015545.76-081118.3 1.5406 18.999 0.029 18.739 0.015 18.578 0.019 18.400 0.028 18.427 0.038 14.254 -9.000 -26.403
015546.50+144246.1 1.9460 19.108 0.034 19.054 0.021 18.960 0.026 18.801 0.016 18.586 0.037 -1.000 -9.000 -26.604
015548.94+143317.5 0.7321 19.213 0.034 19.029 0.031 19.043 0.023 19.083 0.025 19.030 0.054 -1.000 -9.000 -23.994
015551.72-000705.5 0.3632 19.378 0.028 19.090 0.022 19.027 0.023 19.119 0.025 18.648 0.037  0.000 -9.000 -22.211
015552.54+003402.4 1.5640 20.581 0.056 20.409 0.030 20.263 0.026 19.940 0.028 19.970 0.090  0.000 -9.000 -24.920
015552.63-003913.9 0.4218 21.885 0.212 20.834 0.031 20.099 0.022 19.573 0.022 18.947 0.041  0.000 -9.000 -22.118
015553.84-010822.3 1.3145 20.844 0.076 20.332 0.071 19.543 0.022 19.292 0.020 19.262 0.049  0.000 -9.000 -25.146
015554.70+011018.4 0.4512 20.864 0.077 20.407 0.027 20.178 0.026 19.698 0.030 19.286 0.053  0.000 -9.000 -22.155
015556.52-005008.0 0.4671 20.079 0.051 19.802 0.024 19.739 0.019 19.345 0.020 19.003 0.043  0.000 -9.000 -22.595
015559.05-093150.5 2.0914 19.625 0.042 19.487 0.042 19.355 0.021 19.244 0.026 18.972 0.054  0.000 -9.000 -26.262
015600.23+010552.3 1.2827 20.497 0.059 20.516 0.028 20.162 0.025 20.185 0.037 20.256 0.109  0.000 -9.000 -24.200
015605.95+003036.4 1.3882 20.844 0.071 20.803 0.032 20.429 0.031 20.417 0.042 20.329 0.119  0.000 -9.000 -24.161
015606.90-001803.5 2.0428 20.367 0.056 20.235 0.025 20.032 0.024 19.982 0.029 19.911 0.085  0.000 -9.000 -25.499
015608.07-005353.4 2.2947 20.799 0.070 20.114 0.031 20.014 0.026 19.750 0.027 19.444 0.055  0.000 -9.000 -25.989
015608.19+133050.8 1.4809 18.795 0.025 18.641 0.020 18.435 0.017 18.328 0.021 18.224 0.033 -1.000 -9.000 -26.450
015610.65+011159.5 1.3951 20.762 0.072 20.391 0.028 20.262 0.028 20.300 0.041 20.050 0.092  0.000 -9.000 -24.282
015613.99-083302.2 1.1891 19.568 0.034 19.433 0.020 19.126 0.020 19.113 0.024 19.170 0.062  0.000 -9.000 -25.076
015614.03-002105.0 1.5110 20.123 0.049 20.120 0.024 19.844 0.022 19.596 0.025 19.702 0.071  0.000 -9.000 -25.180
015614.76-000731.6 1.3821 20.424 0.051 19.921 0.025 19.455 0.024 19.289 0.025 19.267 0.051  0.000 -9.000 -25.274
015615.10+005849.2 0.7801 20.264 0.055 19.992 0.023 20.105 0.027 19.965 0.037 19.952 0.099  0.000 -9.000 -23.219
015615.29-084938.4 1.7819 19.155 0.037 19.188 0.017 19.154 0.022 18.977 0.024 18.990 0.068  0.000 -9.000 -26.164
015616.16-000117.6 1.2443 17.898 0.019 17.878 0.020 17.686 0.021 17.671 0.022 17.684 0.029  0.000 -9.000 -26.644
015618.22+010204.1 0.7127 20.234 0.055 19.872 0.022 19.895 0.025 19.841 0.031 19.710 0.082  0.000 -9.000 -23.122
015621.62+001850.2 1.2966 19.911 0.048 19.992 0.024 19.519 0.023 19.569 0.024 19.660 0.074  0.000 -9.000 -24.845
015628.04-084208.8 0.3948 18.438 0.021 18.286 0.023 18.259 0.027 18.214 0.022 17.877 0.022  0.000 -9.000 -23.308
015628.40+134142.1 1.3775 19.396 0.032 19.586 0.021 19.020 0.019 19.137 0.026 19.070 0.053 -1.000 -9.000 -25.486
015629.06+000724.3 0.3605 19.003 0.029 18.798 0.019 18.697 0.016 18.752 0.019 18.086 0.028  0.000 -9.000 -22.563
015631.78-090802.8 1.6700 18.981 0.030 18.857 0.021 18.840 0.016 18.687 0.014 18.747 0.048  0.000 -9.000 -26.302
015633.26-005401.9 2.6657 20.164 0.050 19.380 0.033 19.151 0.022 19.071 0.020 19.019 0.041  0.000 -9.000 -27.004
015633.41+131943.9 1.0180 20.433 0.049 20.369 0.031 20.106 0.028 20.155 0.033 20.098 0.114 -1.000 -9.000 -23.727
015633.56+005749.1 0.6036 20.870 0.086 20.510 0.028 20.569 0.034 20.185 0.038 19.801 0.085  0.000 -9.000 -22.371
015633.57+003045.9 1.0149 19.887 0.040 19.645 0.021 19.365 0.022 19.540 0.026 19.515 0.061 14.909 -9.000 -24.288
015635.21+001449.5 1.0549 20.499 0.057 20.346 0.037 19.981 0.024 19.880 0.040 20.106 0.111  0.000 -9.000 -24.039
015636.03+135212.3 1.1274 20.211 0.044 19.901 0.023 19.235 0.019 19.000 0.019 18.880 0.048 -1.000 -9.000 -25.125
015637.73+000211.9 2.7492 21.493 0.141 20.498 0.026 20.364 0.026 20.373 0.039 20.082 0.114  0.000 -9.000 -25.770
015638.54+131757.7 1.9783 18.504 0.029 18.338 0.015 18.260 0.019 18.088 0.021 18.015 0.025 -1.000 -9.000 -27.362
015642.11+141944.3 4.3257 24.329 0.891 23.649 0.301 20.674 0.041 20.298 0.042 19.870 0.089 -1.000 -9.000 -26.882
015643.80+003648.7 2.0164 20.190 0.048 20.146 0.024 20.035 0.026 19.777 0.029 19.449 0.057  0.000 -9.000 -25.665
015644.13-005038.0 1.7862 20.934 0.076 20.690 0.043 20.661 0.035 20.386 0.035 20.440 0.119  0.000 -9.000 -24.775
015645.81+001941.3 1.2860 20.242 0.048 20.151 0.032 20.046 0.024 19.929 0.040 20.037 0.103  0.000 -9.000 -24.466
015646.44-001558.6 0.3899 19.575 0.037 19.280 0.014 19.221 0.016 19.260 0.020 18.787 0.035  0.000 -9.000 -22.248
015650.28+005308.4 1.6520 19.131 0.032 19.060 0.022 18.652 0.017 18.300 0.020 18.216 0.027  0.000 -9.000 -26.679
015650.30-101021.8 1.2955 19.280 0.060 19.133 0.051 18.857 0.021 18.844 0.022 18.832 0.054 -1.000 -9.000 -25.547
015650.82-004532.5 1.7957 18.999 0.037 18.992 0.017 18.997 0.022 18.728 0.015 18.770 0.034  0.000 -9.000 -26.444
015653.16-004623.2 0.6151 20.706 0.086 20.202 0.023 20.266 0.031 19.910 0.027 19.843 0.075  0.000 -9.000 -22.694
015653.62+134718.6 1.4343 20.515 0.054 20.410 0.027 20.163 0.028 19.989 0.029 19.907 0.109 -1.000 -9.000 -24.710
015656.34-002810.3 1.7931 19.987 0.044 19.821 0.037 19.695 0.020 19.326 0.018 19.371 0.052  0.000 -9.000 -25.845
015656.51+123907.9 1.6296 19.723 0.032 19.526 0.024 19.309 0.021 19.028 0.021 19.029 0.049 -1.000 -9.000 -25.985
015657.74-084234.2 1.3096 19.360 0.028 19.366 0.033 19.025 0.029 19.030 0.022 19.072 0.055  0.000 -9.000 -25.393
015657.83-084000.6 1.1465 19.488 0.031 19.383 0.034 19.096 0.030 19.085 0.023 19.160 0.058  0.000 -9.000 -25.022
015658.40+001615.9 0.3593 19.277 0.027 19.202 0.029 19.007 0.018 18.873 0.035 18.387 0.037  0.000 -9.000 -22.436
015658.47-002558.1 1.3158 18.956 0.024 19.057 0.036 18.824 0.016 18.819 0.016 18.972 0.041  0.000 -9.000 -25.625
015658.70+004640.9 1.1331 20.492 0.053 20.418 0.027 20.232 0.027 20.387 0.037 20.608 0.133  0.000 -9.000 -23.700
015659.27+123159.5 3.1336 22.402 0.266 20.865 0.043 20.426 0.035 19.901 0.033 19.831 0.094 -1.000 -9.000 -26.603
015659.48+000702.9 1.3131 19.647 0.041 19.533 0.019 19.257 0.017 19.220 0.025 19.270 0.059  0.000 -9.000 -25.218
015701.38-002248.0 1.9062 20.082 0.048 20.016 0.018 19.910 0.021 19.711 0.024 19.579 0.062  0.000 -9.000 -25.602
015704.09+122858.2 4.1612 24.280 0.978 22.289 0.132 20.168 0.029 19.867 0.031 19.686 0.084 -1.000 -9.000 -27.260
015704.11-005657.5 1.7794 19.534 0.033 19.395 0.033 19.397 0.021 19.176 0.021 19.160 0.045  0.000 -9.000 -25.976
015705.21-010824.5 1.5157 20.139 0.047 19.781 0.068 19.391 0.023 19.251 0.039 19.250 0.049  0.000 -9.000 -25.523
015706.03-000319.7 1.5413 20.678 0.062 20.369 0.036 20.201 0.036 19.981 0.030 20.022 0.087  0.000 -9.000 -24.843
015707.23-002637.7 0.8889 20.587 0.071 20.155 0.030 20.046 0.025 20.092 0.027 19.944 0.080  0.000 -9.000 -23.409
015707.78-011241.8 0.7676 19.269 0.034 19.003 0.068 18.911 0.022 19.018 0.038 18.817 0.038  0.000 -9.000 -24.124
015709.59-001810.5 3.1590 22.996 0.437 20.793 0.028 20.488 0.028 20.183 0.031 19.919 0.082  0.000 -9.000 -26.267
015709.66-093524.7 1.3856 19.268 0.042 19.137 0.030 18.817 0.015 18.742 0.028 18.736 0.050  0.000 -9.000 -25.807
015713.59+000322.9 1.4817 19.776 0.042 19.545 0.018 19.386 0.019 19.174 0.019 19.120 0.051  0.000 -9.000 -25.550
015716.66-082942.7 1.3959 19.432 0.044 19.258 0.016 19.021 0.034 18.891 0.025 18.811 0.048  0.000 -9.000 -25.682
015716.68-011439.2 1.3872 20.171 0.049 19.920 0.053 19.847 0.026 19.813 0.037 19.857 0.080  0.000 -9.000 -24.752
015717.23-001457.0 1.6394 19.292 0.032 19.111 0.013 19.070 0.018 19.080 0.031 18.925 0.038  0.000 -9.000 -25.879
015717.52+131226.4 1.3487 19.126 0.032 18.885 0.014 18.629 0.023 18.523 0.029 18.551 0.036 -1.000 -9.000 -26.029
015717.73+004108.4 0.3894 20.130 0.042 19.749 0.033 19.631 0.021 19.246 0.022 18.792 0.036  0.000 -9.000 -22.251
015718.92+005028.4 2.7916 21.478 0.139 20.207 0.024 20.115 0.025 19.919 0.030 19.715 0.074  0.000 -9.000 -26.253
015720.02+145452.2 1.1772 19.396 0.034 19.486 0.018 19.186 0.025 19.133 0.023 19.217 0.066 -1.000 -9.000 -25.109
015720.27-093809.1 1.6491 19.312 0.044 19.207 0.035 19.195 0.018 18.911 0.024 19.121 0.066  0.000 -9.000 -26.050
015722.81-004254.3 0.7696 19.851 0.044 19.510 0.024 19.407 0.030 19.435 0.024 19.215 0.046  0.000 -9.000 -23.709
015726.49-001222.0 1.1682 21.398 0.112 20.873 0.045 20.431 0.039 20.369 0.036 20.134 0.096 16.012 -9.000 -23.787
015727.21-082610.0 0.8220 19.406 0.043 19.150 0.015 19.115 0.034 19.186 0.028 19.157 0.064  0.000 -9.000 -24.116
015729.79+000233.8 3.6138 23.561 0.743 20.159 0.022 19.156 0.018 18.999 0.018 19.074 0.049  0.000 -9.000 -27.744
015733.87-004824.4 1.5452 18.843 0.025 18.484 0.022 18.417 0.029 18.161 0.020 18.237 0.026  0.000 -9.000 -26.654
015734.24+003405.6 1.0833 18.888 0.026 18.848 0.018 18.538 0.015 18.471 0.024 18.574 0.032  0.000 -9.000 -25.502
015738.09+130931.4 0.2208 19.007 0.031 18.654 0.013 18.276 0.023 17.787 0.028 17.643 0.022 -1.000 -9.000 -22.414
015741.56-010629.6 3.5644 23.870 1.024 19.197 0.050 18.250 0.021 18.080 0.028 18.053 0.030  0.000 -9.000 -28.628
015744.88-010507.0 1.6626 21.180 0.096 21.136 0.063 20.873 0.041 20.528 0.059 20.705 0.152  0.000 -9.000 -24.461
015748.91-002004.5 1.3929 20.553 0.063 20.413 0.022 20.180 0.025 20.164 0.036 20.197 0.103  0.000 -9.000 -24.402
015750.20-000436.3 2.3851 21.569 0.129 21.091 0.055 20.463 0.029 20.398 0.038 20.217 0.105  0.000 -9.000 -25.425
015751.96-084312.0 1.5870 19.327 0.040 19.100 0.039 19.030 0.040 18.805 0.019 18.831 0.060  0.000 -9.000 -26.073
015757.27-002541.7 0.7031 19.937 0.051 19.630 0.025 19.566 0.021 19.432 0.017 19.289 0.051  0.000 -9.000 -23.489
015759.98-000405.0 1.0868 20.537 0.057 20.442 0.049 20.059 0.024 20.038 0.033 19.901 0.081  0.000 -9.000 -23.945
015800.42+001357.0 2.1286 20.221 0.051 20.260 0.024 20.277 0.024 20.157 0.031 19.977 0.096  0.000 -9.000 -25.403
015800.45-003304.6 0.8434 20.841 0.089 20.481 0.031 20.408 0.030 20.440 0.031 20.063 0.089  0.000 -9.000 -22.926
015801.49-004112.1 0.7446 20.070 0.051 19.827 0.037 19.899 0.039 19.918 0.030 19.674 0.066  0.000 -9.000 -23.148
015802.24-002230.1 2.0953 20.296 0.052 20.205 0.022 20.239 0.028 20.105 0.031 20.108 0.095  0.000 -9.000 -25.412
015802.42+000540.0 0.9614 20.814 0.080 20.289 0.027 19.861 0.022 19.757 0.029 19.655 0.078  0.000 -9.000 -23.933
015804.14-084321.3 1.1119 18.450 0.029 18.188 0.039 18.051 0.039 18.090 0.015 18.141 0.037  0.000 -9.000 -25.943
015805.12-003744.3 0.5844 21.096 0.106 20.416 0.032 20.431 0.030 20.062 0.024 19.871 0.077  0.000 -9.000 -22.413
015805.65-005404.6 1.0265 20.178 0.045 19.918 0.029 19.642 0.025 19.650 0.027 19.763 0.072  0.000 -9.000 -24.190
015808.17+000818.0 0.5862 21.081 0.097 20.672 0.030 20.398 0.028 19.961 0.032 19.830 0.090  0.000 -9.000 -22.525
015808.61+141658.1 0.9301 20.626 0.058 20.153 0.031 19.788 0.025 19.849 0.030 19.560 0.067 -1.000 -9.000 -23.813
015809.37+002927.9 0.8455 20.946 0.079 20.458 0.033 20.230 0.026 20.123 0.033 19.777 0.073  0.000 -9.000 -23.250
015810.76-090046.8 1.6089 19.495 0.034 19.269 0.027 19.132 0.023 18.861 0.018 18.840 0.050  0.000 -9.000 -26.043
015810.77+001440.9 2.1445 21.319 0.112 20.657 0.028 20.540 0.028 20.406 0.036 20.202 0.115  0.000 -9.000 -25.171
015815.07-082129.4 2.3166 20.085 0.066 19.231 0.033 19.393 0.032 19.241 0.027 19.186 0.062  0.000 -9.000 -26.509
015815.47-091542.8 2.1346 19.781 0.050 19.503 0.024 19.327 0.029 19.261 0.026 19.005 0.059  0.000 -9.000 -26.303
015815.68+133934.7 1.9267 19.713 0.030 19.737 0.018 19.807 0.032 19.432 0.027 19.416 0.068 -1.000 -9.000 -25.947
015817.58-100304.0 2.1406 18.800 0.031 18.494 0.031 18.271 0.015 18.231 0.020 18.018 0.032  0.000 -9.000 -27.332
015817.72-100339.7 1.5680 19.523 0.042 19.183 0.032 19.106 0.019 18.933 0.024 18.909 0.057  0.000 -9.000 -25.909
015819.76-001222.0 3.2848 21.077 0.087 18.988 0.036 18.664 0.030 18.629 0.024 18.596 0.037  0.000 -9.000 -27.900
015820.99+005743.0 1.6283 20.470 0.067 20.371 0.028 20.233 0.025 19.960 0.031 19.984 0.098  0.000 -9.000 -24.979
015822.57-002403.6 1.6208 21.088 0.091 20.582 0.027 20.072 0.026 19.659 0.025 19.440 0.056  0.000 -9.000 -25.263
015822.69-004122.9 1.9490 20.693 0.079 20.651 0.042 20.744 0.048 20.390 0.039 20.085 0.091  0.000 -9.000 -24.966
015822.92-102211.6 1.8437 19.331 0.029 19.243 0.023 19.167 0.022 18.892 0.023 18.865 0.052  0.000 -9.000 -26.327
015823.97+131224.1 1.1543 20.548 0.061 20.417 0.025 20.080 0.033 20.050 0.040 20.183 0.133 -1.000 -9.000 -24.136
015824.22-090913.8 0.4509 19.786 0.050 19.524 0.030 19.416 0.024 19.251 0.021 19.112 0.065  0.000 -9.000 -22.587
015824.98-011244.0 1.0208 21.068 0.088 20.623 0.085 20.500 0.037 20.670 0.057 20.685 0.159  0.000 -9.000 -23.154
015826.51-005136.8 1.7247 20.718 0.069 20.545 0.035 20.340 0.039 20.016 0.032 20.088 0.092  0.000 -9.000 -25.058
015827.27+003502.1 1.5878 18.504 0.022 18.368 0.016 18.392 0.015 18.241 0.015 18.284 0.031  0.000 -9.000 -26.644
015829.70-083315.4 1.1178 20.406 0.058 19.868 0.031 19.331 0.021 19.188 0.037 19.177 0.060  0.000 -9.000 -24.852
015829.80-082855.0 1.5125 19.252 0.031 19.009 0.029 18.871 0.020 18.692 0.034 18.783 0.044  0.000 -9.000 -26.069
015830.44+004254.6 1.6179 20.172 0.043 19.822 0.031 19.714 0.024 19.481 0.021 19.539 0.055  0.000 -9.000 -25.442
015830.52-093631.6 2.1198 19.017 0.033 18.938 0.031 18.967 0.028 18.818 0.026 18.687 0.047  0.000 -9.000 -26.727
015831.48+141536.6 1.8058 20.578 0.056 20.376 0.027 20.344 0.032 19.956 0.037 20.000 0.103 -1.000 -9.000 -25.282
015831.72+004908.0 1.8101 19.547 0.031 19.444 0.030 19.407 0.023 19.148 0.019 19.071 0.040  0.000 -9.000 -26.036
015832.51-004238.1 2.6169 20.185 0.057 19.343 0.072 19.402 0.060 19.489 0.052 19.066 0.051 10.828 -9.000 -26.533
015836.26+010632.0 0.7212 18.577 0.024 17.924 0.034 17.620 0.015 17.397 0.016 17.198 0.026  0.000 -9.000 -25.589
015836.40+123858.2 2.1992 20.597 0.061 20.242 0.028 20.151 0.032 20.087 0.039 19.934 0.126 -1.000 -9.000 -25.622
015836.84-001845.6 1.5525 20.685 0.065 20.415 0.024 20.151 0.026 19.911 0.026 19.765 0.074  0.000 -9.000 -24.915
015838.71+000126.3 0.4662 18.997 0.028 18.601 0.021 18.590 0.026 18.393 0.030 18.329 0.033  0.000 -9.000 -23.536
015839.20+004405.2 1.3341 20.825 0.067 20.499 0.035 20.049 0.027 19.903 0.027 19.998 0.079  0.000 -9.000 -24.566
015839.88-002534.4 1.4526 20.823 0.093 20.619 0.034 20.159 0.024 19.864 0.027 19.865 0.074  0.000 -9.000 -24.801
015840.98-005252.0 1.2806 20.765 0.071 20.644 0.037 20.259 0.038 20.194 0.035 20.062 0.091  0.000 -9.000 -24.181
015841.87-002500.2 2.0450 20.245 0.050 19.982 0.020 19.725 0.023 19.531 0.021 19.280 0.050  0.000 -9.000 -25.930
015844.83+135433.7 1.8479 19.016 0.021 18.900 0.020 18.851 0.027 18.611 0.019 18.565 0.042 -1.000 -9.000 -26.689
015845.78-002138.5 0.5650 20.403 0.054 20.003 0.020 20.104 0.026 19.724 0.023 19.471 0.058  0.000 -9.000 -22.665
015846.57+122631.5 1.0236 19.294 0.025 19.086 0.020 18.808 0.015 18.796 0.022 18.631 0.043 -1.000 -9.000 -25.160
015848.84+141649.4 1.6929 20.328 0.047 20.068 0.024 19.912 0.025 19.629 0.032 19.466 0.068 -1.000 -9.000 -25.460
015851.37-004909.7 2.8546 22.586 0.376 21.131 0.048 20.973 0.047 20.790 0.049 20.603 0.140 15.314 -9.000 -25.426
015852.12+003038.1 2.0922 20.166 0.045 19.840 0.021 19.789 0.021 19.653 0.025 19.501 0.061  0.000 -9.000 -25.874
015853.96-092932.6 1.4534 18.897 0.028 18.889 0.026 18.774 0.014 18.711 0.020 18.691 0.044  0.000 -9.000 -25.957
015854.55+000610.8 1.1982 20.897 0.084 20.062 0.025 19.464 0.028 19.254 0.032 19.200 0.057  0.000 -9.000 -24.962
015856.26+130702.6 1.8881 19.008 0.023 18.943 0.014 18.823 0.026 18.605 0.022 18.529 0.035 -1.000 -9.000 -26.738
015857.65+123217.7 1.2418 19.226 0.028 19.082 0.017 18.718 0.026 18.688 0.021 18.833 0.044 -1.000 -9.000 -25.700
015859.60+122854.9 1.0577 19.449 0.031 19.192 0.018 18.939 0.026 18.922 0.023 18.902 0.046 -1.000 -9.000 -25.093
015900.89-004839.1 0.9498 18.953 0.027 18.705 0.034 18.515 0.025 18.554 0.016 18.510 0.039  0.000 -9.000 -25.096
015902.70-003224.9 2.4455 21.127 0.120 20.521 0.038 20.472 0.032 20.459 0.036 20.256 0.102  0.000 -9.000 -25.409
015902.87+010416.5 1.8006 19.317 0.036 19.323 0.031 19.301 0.020 19.081 0.026 19.113 0.047  0.000 -9.000 -26.093
015903.35-000127.7 1.8014 19.816 0.036 19.750 0.029 19.884 0.039 19.559 0.035 19.607 0.061  0.000 -9.000 -25.619
015903.74-003016.5 2.8949 21.729 0.181 20.338 0.036 20.092 0.034 20.076 0.035 19.909 0.077  0.000 -9.000 -26.170
015904.82-005053.9 2.1125 20.496 0.058 20.370 0.038 20.423 0.037 20.228 0.035 20.091 0.093  0.000 -9.000 -25.310
015906.38+002343.9 2.3221 19.441 0.035 19.035 0.016 19.024 0.018 18.985 0.021 18.824 0.045  0.000 -9.000 -26.772
015907.21+010652.6 3.0998 23.083 0.335 20.861 0.040 20.348 0.029 20.164 0.038 19.999 0.092  0.000 -9.000 -26.239
015907.94+144351.6 0.8088 19.085 0.024 18.653 0.020 18.475 0.024 18.587 0.025 18.368 0.036 -1.000 -9.000 -24.747
015910.05+010514.5 0.2172 17.466 0.023 17.433 0.029 17.238 0.017 16.948 0.023 17.040 0.025  0.000 -1.206 -23.158
015914.98+005949.8 1.7893 20.777 0.084 20.687 0.027 20.623 0.032 20.254 0.038 20.185 0.115  0.000 -9.000 -24.904
015915.73+005254.8 1.7825 19.302 0.046 19.221 0.015 19.216 0.015 19.001 0.019 18.911 0.039  0.000 -9.000 -26.148
015921.53+141043.1 3.1026 22.769 0.332 19.879 0.023 19.308 0.018 18.720 0.020 18.447 0.032 -1.000 -9.000 -27.739
015924.27-005112.5 1.5048 20.003 0.041 19.739 0.030 19.668 0.031 19.438 0.024 19.545 0.060  0.000 -9.000 -25.312
015925.07-001755.4 3.2807 22.712 0.338 19.176 0.015 18.707 0.017 18.614 0.017 18.610 0.036  0.000 -9.000 -27.907
015926.41+124712.9 1.4592 20.906 0.068 20.426 0.033 19.617 0.032 19.192 0.027 19.027 0.057 -1.000 -9.000 -25.561
015927.69+001139.8 2.0010 20.504 0.064 20.065 0.019 19.830 0.027 19.624 0.027 19.675 0.082  0.000 -9.000 -25.798
015933.16-011026.4 1.8174 19.908 0.037 19.912 0.032 19.886 0.023 19.631 0.026 19.675 0.068  0.000 -9.000 -25.564
015935.39-080100.6 2.1828 19.798 0.046 19.406 0.025 19.464 0.090 19.191 0.060 18.958 0.061  0.000 -9.000 -26.422
015935.48+000401.2 3.2750 22.217 0.245 19.780 0.017 19.707 0.026 19.795 0.024 19.885 0.097  0.000 -9.000 -26.732
015936.60+131133.7 2.7077 22.389 0.271 21.457 0.053 20.991 0.046 20.488 0.048 19.863 0.106 -1.000 -9.000 -25.685
015937.83+130022.5 2.0489 19.953 0.047 19.696 0.025 19.637 0.022 19.440 0.022 19.270 0.057 -1.000 -9.000 -26.104
015938.08+002639.2 1.6034 19.018 0.026 18.785 0.022 18.723 0.023 18.564 0.021 18.587 0.030  0.000 -9.000 -26.344
015942.16-001907.6 3.2456 22.564 0.298 20.992 0.038 20.348 0.028 20.114 0.034 20.142 0.101  0.000 -9.000 -26.387
015942.19+141046.1 1.5983 20.489 0.054 20.181 0.023 20.032 0.026 19.805 0.029 19.694 0.075 -1.000 -9.000 -25.148
015942.43-080817.8 1.1320 18.991 0.028 18.912 0.017 18.598 0.016 18.619 0.042 18.649 0.053 16.277 -9.000 -25.455
015942.69+132805.2 2.0604 19.866 0.032 19.837 0.022 19.731 0.028 19.575 0.029 19.274 0.067 -1.000 -9.000 -25.965
015945.49+141023.6 0.5273 19.701 0.032 19.314 0.018 19.266 0.019 19.059 0.019 18.984 0.042 -1.000 -9.000 -23.223
015945.92+000521.4 0.3888 19.225 0.030 19.007 0.015 19.071 0.023 18.998 0.021 18.579 0.037  0.000 -9.000 -22.498
015946.46+011503.8 1.3592 20.254 0.053 20.237 0.035 19.883 0.028 19.841 0.032 19.903 0.089  0.000 -9.000 -24.674
015950.24+002340.8 0.1628 15.914 0.028 15.890 0.023 15.967 0.016 15.747 0.016 15.833 0.027 13.017 -0.682 -23.692
015952.27+004615.7 1.8642 20.309 0.050 20.326 0.029 20.427 0.041 20.124 0.039 20.086 0.086  0.000 -9.000 -25.129
015952.89+123854.3 1.3862 19.503 0.024 19.236 0.025 19.060 0.019 19.047 0.024 19.213 0.070 -1.000 -9.000 -25.597
015952.96+134554.3 0.5043 18.070 0.019 17.837 0.025 17.955 0.024 17.820 0.016 17.838 0.028 -1.000 -9.000 -24.374
015955.39-003414.3 1.6474 20.447 0.064 20.180 0.030 20.099 0.024 19.881 0.026 19.861 0.075  0.000 -9.000 -25.086
015957.46+130408.8 1.4674 20.205 0.046 19.999 0.020 19.806 0.019 19.611 0.031 19.787 0.103 -1.000 -9.000 -25.162
015957.63+003310.4 0.3117 20.182 0.046 19.868 0.025 19.213 0.024 18.921 0.023 18.406 0.028  0.000 -9.000 -22.039
015958.75-094232.5 1.5615 19.410 0.040 19.150 0.029 19.113 0.043 19.037 0.023 19.075 0.063  0.000 -9.000 -25.803
015959.57+010133.4 0.7014 20.455 0.063 20.159 0.022 20.065 0.023 19.847 0.028 19.833 0.089  0.000 -9.000 -23.071
020002.57+131506.2 1.0742 19.446 0.029 19.073 0.023 18.780 0.016 18.764 0.024 18.606 0.037 -1.000 -9.000 -25.265
020005.79-002138.9 1.4272 19.791 0.045 19.760 0.027 19.573 0.021 19.523 0.027 19.450 0.060  0.000 -9.000 -25.106
020006.31-003709.7 2.1396 19.365 0.043 18.651 0.024 18.159 0.024 18.133 0.021 18.005 0.025  0.000 -9.000 -27.439
020008.95+001937.2 2.2123 20.859 0.079 20.389 0.025 20.274 0.027 20.173 0.031 20.024 0.101 14.942 -9.000 -25.476
020008.99-011518.7 3.7780 23.391 0.585 21.405 0.080 20.375 0.033 20.306 0.058 20.502 0.133  0.000 -9.000 -26.526
020010.33+004438.5 1.6638 20.408 0.052 20.221 0.026 20.230 0.024 19.930 0.031 19.898 0.072  0.000 -9.000 -25.057
